iter	Passed	Remaining
377	827	1362
378	829	1359
379	831	1356
380	833	1353
381	834	1350
382	836	1347
383	838	1344
384	839	1341
385	841	1338
386	843	1336
387	845	1333
388	846	1330
389	848	1327
390	850	1324
391	852	1322
392	854	1319
393	855	1316
394	858	1314
395	860	1312
396	862	1309
397	864	1307
398	866	1304
399	868	1302
400	870	1300
401	872	1297
402	874	1295
403	875	1292
404	877	1289
405	879	1286
406	880	1283
407	882	1280
408	884	1277
409	885	1274
410	887	1272
411	889	1269
412	891	1267
413	893	1264
414	895	1262
415	897	1259
416	899	1257
417	901	1254
418	902	1252
419	904	1249
420	906	1246
421	908	1244
422	910	1241
423	911	1238
424	913	1236
425	915	1233
426	917	1231
427	919	1228
428	921	1225
429	922	1223
430	924	1220
431	926	1218
432	928	1215
433	930	1213
434	931	1210
435	933	1207
436	935	1205
437	937	1202
438	939	1200
439	940	1197
440	942	1195
441	944	1192
442	946	1190
443	948	1187
444	950	1184
445	951	1182
446	953	1180
447	955	1177
448	958	1175
449	960	1173
450	961	1170
451	963	1168
452	965	1165
453	967	1163
454	969	1160
